,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
35,-0.020018522676246042,-0.013322178516213645,-0.030201957760734754,-0.010238162125042916,-0.458298926507019,-0.458298926507019,-0.4740316901408451,0.07063084817386045,-0.9005269663652332,-0.9462051709758131,-1.467062193126023,0.08893650175301904,0.014393792957740237,-0.14622178606476943,-0.15011547344110854,-0.030413908027624226,-0.09999999999999998,-0.3770415305646291,-0.010409101912369989,-0.2053406998158379,0.07499999999999996
34,0.04236125628960985,0.03822524581872644,0.04838788761794022,0.14396543568072162,0.5188008130081301,0.5188008130081301,0.5179916317991631,0.9653228080067662,-0.18247220405493791,0.7054263565891472,1.8506351292159438,0.23281937538010222,0.07397444817179899,-0.06206896551724128,-0.07336956521739135,0.04806027088617015,0.11111111111111094,0.20674157303370788,0.005870841487279899,-0.06488991888760143,-0.023255813953488413
33,0.022666142826921254,-0.00041550849643234855,0.05109206192248328,-0.00300490709599166,0.46436935429909676,0.46436935429909676,0.4635446527012128,-0.41701334098407694,-0.8984,-1.1757575757575758,-0.4213275968039336,0.10928295754621176,0.010344457648379324,0.06495098039215685,0.055718475073313734,0.05077653034787,-0.03571428571428559,0.04841713221601496,0.027723735408560213,0.17967781908302372,-0.09523809523809523
32,0.011463373353500117,0.014028046537184258,0.01739788199697423,-0.06760680215678139,-0.6547863833676033,-0.6547863833676033,-0.6545970235830756,-0.13828740157480313,-23.52755905511811,29.68103448275862,-0.21640998406797662,0.07719674575561775,0.02202900444745759,-0.18181818181818188,-0.17499999999999993,0.01720901949372622,-0.029629629629629672,-0.06631142687981062,0.005915759583530633,-0.1733193277310925,0.0
31,0.016467638434405574,0.01734430879560489,0.018443659991877803,0.13505338078291818,1.2614162806088682,1.2614162806088682,1.2595419847328246,0.8506567675613934,-0.8839566585110101,-0.9586962629952234,1.274822094205354,0.16302394482490645,-0.056854463283157464,0.09845288326300983,0.1077441077441077,0.016923957312296123,-0.06870229007633588,0.13696892834495888,0.0018819101387910209,0.08132147395171518,0.026315789473684292
30,0.007311286242866366,0.026404275816073186,-0.018710852908157327,-0.11848774625071845,-0.33333333333333337,-0.33333333333333337,-0.333976833976834,-0.07437123900632614,-64.18975903614458,-14.251700680272108,-2.9536719797408013,-0.27385103672923927,-0.08398686579811465,-0.07298335467349548,-0.07294832826747721,-0.01839876898515236,-0.0983606557377048,-0.19185722253206916,-0.025827659074900255,-0.041128084606345316,-0.05128205128205132
29,0.018555412016788786,0.009354144386836571,0.030589470920309836,0.12495924597646635,0.3380158033362599,0.3380158033362599,0.33744927536231883,-0.2508751458576429,-0.9331235997902665,-1.2356262833675564,-1.1923751429660694,0.07255003450655617,0.04280256426860074,-0.12569060773480678,-0.12459016393442612,0.030504630282275125,0.05454545454545445,0.10766045548654257,0.01181007471679929,-0.125,0.0
28,0.04766367755261092,0.0331133821517664,0.06761904761904769,0.0050586220524304615,0.06463254593175849,0.06463254593175849,0.06519006545013206,0.03471295060080104,2.949394155381326,-3.925925925925926,-0.7911216805390409,0.014129065122389317,0.05312344759066079,0.14060031595576628,0.14232209737827706,0.06739336755831693,0.02586206896551735,0.1900311526479752,0.01905669366364937,0.13305322128851538,0.027027027027026973
27,-1.4585693379531861e-05,-0.006283184691877275,0.007852406575111992,0.010459538102603139,-0.04221879815100149,-0.04221879815100149,-0.042726347914547325,0.04494623655913976,-0.7704385489983757,-1.5093075204765452,4.379506641366224,0.07494844815735213,0.021344968896488625,-0.04570637119113574,-0.042622950819672156,0.007329021323834173,-0.04201680672268915,-0.12617801047120414,0.0079476390836839,-0.027194066749072876,-0.02631578947368418
26,0.031016929375042634,0.023514964662233684,0.0407207166575525,0.06496134488662886,0.26126126126126126,0.26126126126126126,0.26089266737513284,0.36880016464293064,-0.4866352201257862,-2.4912280701754383,1.509700176366843,0.1749833993261356,0.06440385812842009,0.100145137880987,0.1130136986301371,0.040474397537760165,0.05263157894736836,0.09346914319952049,0.009508348794063037,0.08767471410419292,0.027027027027026973
25,0.007868148969029543,0.003501516756651002,0.016494945883576584,0.08940316686967109,0.16096938775510194,0.16096938775510194,0.1614622840286557,-0.2798075477371824,3.759571209800919,-3.4362745098039214,-1.1101897399859453,-0.016409912926992676,0.016178584296390408,0.0778364116094985,0.08923076923076922,0.02225237735765284,-0.025000000000000022,-0.10904109589041089,0.008499885136687313,0.06542056074766367,0.026315789473684292
24,0.03474074282024642,0.01836651629752728,0.0555511145928258,-0.019074239713774643,0.07492858712370909,0.07492858712370909,0.0801298913339259,0.2640918580375784,0.2728442728442728,-1.022937625754527,-3.6747448979591835,0.044624616956077556,0.11890809965878124,0.07833537331701357,0.09039548022598876,0.05536360177430155,0.09401709401709413,0.005535055350553542,0.02004555808656039,0.07346491228070162,0.0
23,0.009633689198782713,0.005741144731802317,0.01991710043368289,0.018829644151640235,-0.07174979558462802,-0.07174979558462802,-0.07188444743029898,0.1322873658133774,3.678210313447927,-31.912280701754387,-7.387219837863615,-0.2728513516266373,0.11745444385383874,0.052213393870601754,0.06476683937823813,0.019738397325376855,0.0625,0.004281345565749328,0.010272443054935243,0.04902962206332995,0.025641025641025772
22,0.025792553346336344,0.021007968539791033,0.0315123554569936,0.041348757076052234,0.11275049548557581,0.11275049548557581,0.11255881288454583,0.14148191365227536,-0.837845139676879,-1.8467650397275823,-1.4766313274600567,0.17884857823224531,0.05218093945815738,0.031283710895361416,0.04379562043795637,0.031452110757946405,0.02941176470588225,-0.033495736906212104,0.005526083112290081,0.031158714703018342,0.02499999999999991
21,0.0586140879014847,0.05593350902087968,0.0648232572870977,0.0109151071098601,-0.012467840886602022,-0.012467840886602022,-0.012368249837345524,-0.10976233069256325,-0.3098967010996334,-0.21313672922252014,-0.04338972431077692,0.14513177594524596,-0.0017619715534329394,-0.01882845188284532,-0.00932400932400923,0.06473068626597156,-0.02857142857142847,-0.061751732829237516,0.005935370411079388,0.009442870632672351,-0.024390243902438935
