Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2009-03-31,-0.07919491616790442,-0.3264995220802063,-0.2705565663610231,-0.5157029147771108,-0.005508164311342156,-0.20107880659817812,-1.0878123611131023,-1.0878123611131023,-1.0852272727272727,-1.0852272727272727,-0.7893891242937853,-0.834027149321267,3.1122496736212035,23.189086487308103,-0.40143177501254945,-0.2467456770934524,-1.1534653465346534,-1.1594202898550725,-0.010150375939849687,-0.17045454545454553,3.762376237623762,0.08023774145616636,0.0,-0.11428571428571421,0.39065296652303605
2009-06-30,0.03044953390020444,0.17659805987081234,0.018478273140883017,0.18327699421066956,0.01722068728130166,0.12758649670822253,0.7924897959183674,0.7924897959183674,0.7333333333333334,0.7333333333333334,5.05365076703831,0.35905125408942196,-0.8104585342478061,-1.2329898202840266,0.15625539948839196,0.32963631673974714,7.0,6.909090909090908,0.007216103304215737,0.34246575342465757,0.0,-0.012929848693259971,0.0,-0.09677419354838701,-0.005648774907045406
2009-09-30,0.07929108111687966,-0.02688269370021723,0.05898283243962266,0.7899783279700532,-0.0005546241448790568,0.08057303002295702,0.6184534110574733,0.6184534110574733,0.6153846153846152,0.5384615384615385,0.11006176087739217,26.42507522567703,-1.1685364851625952,-2.324747828901235,-0.17902532720533293,0.19553831231813779,0.2822580645161292,0.26436781609195403,-0.009426847662141746,0.18367346938775508,0.0,-0.07385730211817176,0.0,-0.07142857142857151,-0.45633883841894585
2009-12-31,0.01996368816580718,0.18407994402947359,0.007607828821561746,0.04158258732022313,0.00457162514484355,0.12506610380711947,0.3844335640722607,0.3844335640722607,0.4285714285714286,0.375,-0.01568074648836104,-0.7356964173383853,-2.689668104256516,-1.6970215191677354,0.15199556048834628,0.0,-2.69811320754717,-2.690909090909091,-0.0026646364674534073,0.0,0.0,-0.015046644598254555,2.53,0.0,0.13681054627221023
2010-03-31,0.14007023491656811,0.2231079507225291,0.2721405077049135,0.33990709552429377,0.027909596373762113,0.026007733243956777,-0.29016260162601626,-0.29016260162601626,-0.31666666666666665,-0.3090909090909092,-0.13793802674101763,2.6505230530802013,-1.835312395960493,-2.6279463738061164,-0.21479303394775073,0.15187408729514829,0.17592592592592604,0.11290322580645173,-0.022900763358778553,0.1681034482758621,-0.16520070366224204,-0.09838069049801412,0.09631728045325771,0.03846153846153855,-0.08718585169097104
2010-06-30,0.2774489888565863,-0.07973974840484199,0.30587092648365544,0.10411319923894147,0.30438491365971143,0.3229172061301644,0.44336273050051545,0.44336273050051545,0.36585365853658547,0.3947368421052633,0.6919921788859322,4.176744397610456,76.88880031885213,-1.3012774508396727,0.08241431943892308,0.04521763628680109,0.10551181102362195,0.05797101449275366,0.13749999999999996,0.07011070110701101,-0.10593869731800765,0.021009827177228102,0.05167958656330751,0.0,-0.16651087695445277
2010-09-30,0.0025289296060932998,-0.028721715990156493,-0.07960374199378106,0.17642471934189685,0.15069082394121502,0.06712840279450738,0.34720679257260745,0.34720679257260745,0.1785714285714286,0.2264150943396226,0.4629206454023338,-0.9619391553684975,-1.1886506023685373,1.078906622201048,0.1582865926372634,-0.06846361185983829,0.05840455840455849,0.07762557077625565,0.14010989010989028,-0.1827586206896551,-0.20377115920291422,0.14769332890806508,0.051597051597051635,0.03703703703703698,-0.17438956007544482
2010-12-31,0.06872894087630188,0.2018831997525723,0.06270257783681155,0.030821657887946108,0.05133849823721959,0.18736525459122055,0.8262995140627301,0.8262995140627301,0.8333333333333333,0.8307692307692307,-0.23253092909027195,4.119161215852251,-1.5592043399638338,0.6579105674754362,0.22656311166089904,0.30208333333333326,0.2153432032301481,0.23305084745762716,0.04457831325301198,0.14345991561181437,0.1477395048439183,-0.0161943319838056,0.19275700934579443,0.03571428571428559,0.16596690540874293
2011-03-31,-0.006031695933731651,0.015816903422013695,-0.05019577474975234,-0.05977808701286269,-0.021535442672988236,0.013144979787009126,-0.3694768754434625,-0.3694768754434625,-0.371900826446281,-0.37815126050420167,0.007599560432757002,-0.9090546949574211,-3.9232958220152634,-2.045338309489253,-0.19317775621712707,0.16533333333333333,0.04983388704318936,0.07903780068728516,-0.02450980392156865,0.11439114391143912,-0.10574443141852286,-0.015579071134626754,0.02350636630754166,0.034482758620689724,0.08038551154416429
2011-06-30,0.012492156750898431,0.12231320368474918,-0.012831299957930198,0.010702166536152413,0.04122189416307065,0.08444757213230125,0.1636828644501278,0.1636828644501278,0.14473684210526305,0.14864864864864868,0.3840245775729647,-0.578512396694215,-0.35287610619469023,-1.9652892561983473,0.231012658227848,-0.016113653699466046,0.07172995780590719,0.10509554140127397,0.04138338752586468,0.009933774834437026,-0.130047194546408,0.028366676619886455,0.038277511961722466,0.06666666666666665,0.11043034996568957
