Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
41,2005-03-31,-0.2259957208032255,-0.32874961311595763,0.007163017631263591,0.0956615534277916,0.42659538444173095,0.42659538444173095,0.44,0.4489795918367348,0.1845636398947721,-6.279543101216673,8.367815547770098,0.9977726318268344,0.3944784907590573,0.034445640473627526,0.09220779220779217,0.17456896551724155,0.01807228915662651,0.0,-0.0034653465346534684,0.3010787839163125,0.11154985192497537,0.04347826086956519
42,2005-06-30,-0.08206960726476042,-0.13175260249920828,-0.006933971815760498,0.02395608325437726,-0.18003107332441415,-0.18003107332441415,-0.16666666666666666,-0.16901408450704225,-0.13927041025449938,-1.9789530458019484,-2.4860891406854098,-1.7522016100117388,-0.21278733076940184,0.08116545265348618,0.0297265160523188,0.11743119266055048,0.00887573964497057,0.0622837370242213,-0.0397416790859414,0.08190954773869352,0.031083481349911013,0.08333333333333348
43,2005-09-30,0.02630611802554617,0.06601732591010556,-0.026200815476111528,0.015273587802807187,-0.009280945989806777,-0.009280945989806777,0.0,0.016949152542372836,0.21470687550325973,-2.6437376741274066,-0.9867895717705952,1.5632945693409686,-0.6928707205879499,0.07025986525505279,0.04849884526558902,0.12972085385878485,-0.008797653958944385,0.061889250814332275,0.018106570098292973,-0.051091500232233966,0.031869078380706295,0.09615384615384603
44,2005-12-31,-0.012005423281635008,-0.011464849757580777,-0.012787867140706566,0.06588081787583587,0.3323652591221811,0.3323652591221811,0.3666666666666667,0.3333333333333335,0.43154780997184505,-1.125798907619998,32.452439181361825,-1.0178390385311005,0.2462574635228403,-0.011690647482014316,0.125,0.2209302325581397,0.020710059171597628,-0.003067484662576669,-0.06554878048780488,-0.0007342143906020615,0.06176961602671116,0.1578947368421053
45,2006-03-31,0.008219036094945453,0.03700371819610404,-0.03350069350377572,0.017040822856125404,-0.22771073127940664,-0.22771073127940664,-0.20731707317073167,-0.20000000000000007,-0.05164335612107207,-2.2399479229744457,-0.6604089390977791,1.8993288590604025,-0.055748968252138376,-0.024567788898999014,-0.02496328928046998,-0.02857142857142858,-0.017391304347826098,-0.04307692307692312,-0.1364872213159326,-0.04139113397011995,-0.07232704402515733,0.045454545454545414
46,2006-06-30,0.06274318850480888,0.09975367098765542,0.005188121869670992,-0.0031650417446300594,0.012546144512997959,0.012546144512997959,0.030769230769230882,0.03125,-0.5116319362409236,4.550435865504358,-4.498872610671109,-3.6002758077226162,-0.2578244414601392,0.0130597014925371,0.0251004016064258,-0.013480392156862808,0.014749262536873031,0.02893890675241173,0.04030226700251882,-0.05416453755748607,-0.015254237288135575,0.0
47,2006-09-30,-0.04731172294260977,-0.0878316110967714,0.021628887497390892,0.05794746966923614,-0.06442648446064814,-0.06442648446064814,-0.05970149253731349,-0.045454545454545525,0.8178309574490958,-1.7217309629707842,-2.548840673575129,-1.3583226001969846,0.1244777238960646,0.039594843462246836,-0.0004897159647403448,-0.007453416149068359,0.026162790697674458,0.024999999999999908,0.012711864406779629,0.07239330091842255,-0.03872633390705682,0.028985507246376937
48,2006-12-31,0.0069551815039763385,0.017367846848562518,-0.008862784965709358,0.03561988508877745,-0.03762444589782722,-0.03762444589782722,-0.015873015873015928,-0.04761904761904767,0.07862630181381625,-1.160547257161492,-0.7589748307483869,-0.23718152024526906,0.08444267599782318,0.11337466784765282,-0.08623223909848121,-0.09637046307884856,0.0056657223796034994,0.08536585365853666,0.1010161386730426,-0.01586901763224191,-0.11369740376007155,0.028169014084507005
49,2007-03-31,0.02499757165158134,0.039938651101538485,0.0016997702032715,0.01809907150210277,0.07189511638004276,0.07189511638004276,0.08064516129032273,0.10000000000000007,-0.06543813669908871,2.671963095848283,-1.3334894776106456,0.07178989675005187,0.08345743762410418,0.04773269689737458,-0.010723860589812341,-0.016620498614958512,0.016901408450704203,0.042134831460674205,0.13029315960912036,-0.02277962631174824,-0.03232323232323242,0.013698630136986356
50,2007-06-30,0.014178610257317812,0.03253375421172877,-0.015535375111380034,-0.0322145218337585,-0.04690788372973586,-0.04690788372973586,-0.029850746268656688,-0.03030303030303028,-0.2359505077705616,-0.9411253799863516,-2.2144157735927585,3.665287386047715,0.3593615378868995,0.05922551252847375,-0.021138211382113803,-0.021126760563380143,0.0027700831024930483,0.04043126684636112,0.050912584053794285,-0.029072812991094762,-0.03862212943632559,0.0135135135135136
51,2007-09-30,-0.0271777684871336,-0.04069851043796513,-0.0042211573755496215,-0.005413782818251446,0.11677260800473045,0.11677260800473045,0.12307692307692307,0.140625,0.4315956785146622,-9.07086406743941,6.9675498532782125,-2.297555364616536,-0.34302242510615377,-0.08172043010752683,0.0321151716500554,0.02014388489208629,0.0,-0.08290155440414504,-0.07449725776965266,0.02346911248988404,0.02062975027144409,0.0
52,2007-12-31,0.8869249924218761,1.4073173824279952,0.03572734551100143,-0.7029189424978296,-0.2030941054808687,-0.2030941054808687,-0.1917808219178082,-0.21917808219178087,-0.05667208393003687,-47.14349751389932,-12.68130630327893,-3.9905691612641374,1.4871182886841696,0.030444964871194188,-0.02575107296137336,-0.1988716502115656,0.035911602209944826,0.031073446327683607,-0.008395061728395103,-0.4509752240379546,0.1904255319148936,-0.31999999999999995
53,2008-03-31,-0.11193651865608643,-0.16536944237125495,0.09120389136603158,2.756832559980269,2.4154849158067395,2.4154849158067395,2.3898305084745766,2.491228070175439,0.09168443496801704,-1.1695316893396634,-1.1500498018053844,-0.1678690304424223,0.5224215246636772,-0.020454545454545392,0.4509911894273126,0.3133802816901408,0.09600000000000007,-0.054794520547945084,-0.009462151394422191,0.2285165626500241,0.4575513851653261,-0.0980392156862745
